Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Influenza,fever,cough,body_ache,fatigue,headache
Influenza,fever,cough,sore_throat,runny_nose,fatigue
Influenza,high_fever,chills,body_ache,headache,cough
Influenza,fever,muscle_pain,fatigue,cough,sneezing
Influenza,fever,headache,sore_throat,fatigue,body_ache
Common Cold,sneezing,runny_nose,sore_throat,cough,mild_fever
Common Cold,runny_nose,congestion,sneezing,sore_throat,cough
Common Cold,sneezing,watery_eyes,sore_throat,mild_fever,congestion
Common Cold,cough,runny_nose,sneezing,headache,sore_throat
Common Cold,congestion,sore_throat,sneezing,runny_nose,mild_fever
Diabetes,frequent_urination,increased_thirst,fatigue,blurred_vision,weight_loss
Diabetes,increased_thirst,frequent_urination,fatigue,slow_healing,weight_loss
Diabetes,fatigue,blurred_vision,frequent_urination,increased_thirst,numbness
Diabetes,weight_loss,frequent_urination,increased_thirst,fatigue,blurred_vision
Diabetes,increased_thirst,fatigue,frequent_urination,slow_healing,blurred_vision
Hypertension,headache,dizziness,blurred_vision,chest_pain,shortness_of_breath
Hypertension,headache,nosebleed,dizziness,chest_pain,fatigue
Hypertension,dizziness,headache,chest_pain,shortness_of_breath,fatigue
Hypertension,blurred_vision,headache,dizziness,nosebleed,chest_pain
Hypertension,chest_pain,headache,dizziness,shortness_of_breath,fatigue
Malaria,high_fever,chills,sweating,headache,nausea
Malaria,fever,chills,sweating,vomiting,headache
Malaria,high_fever,sweating,chills,body_ache,nausea
Malaria,fever,headache,chills,sweating,fatigue
Malaria,high_fever,chills,nausea,sweating,vomiting
Typhoid,high_fever,weakness,stomach_pain,headache,loss_of_appetite
Typhoid,fever,stomach_pain,weakness,constipation,headache
Typhoid,high_fever,loss_of_appetite,weakness,stomach_pain,diarrhea
Typhoid,fever,headache,stomach_pain,weakness,rash
Typhoid,high_fever,weakness,loss_of_appetite,constipation,stomach_pain
Dengue,high_fever,severe_headache,pain_behind_eyes,joint_pain,rash
Dengue,fever,joint_pain,muscle_pain,rash,nausea
Dengue,high_fever,pain_behind_eyes,severe_headache,joint_pain,fatigue
Dengue,fever,rash,joint_pain,muscle_pain,vomiting
Dengue,high_fever,severe_headache,joint_pain,pain_behind_eyes,bleeding_gums
Pneumonia,cough,fever,chest_pain,shortness_of_breath,fatigue
Pneumonia,high_fever,cough,chest_pain,difficulty_breathing,chills
Pneumonia,fever,cough,phlegm,chest_pain,shortness_of_breath
Pneumonia,cough,fever,fatigue,chest_pain,sweating
Pneumonia,high_fever,cough,difficulty_breathing,chest_pain,body_ache
Tuberculosis,persistent_cough,weight_loss,night_sweats,fever,blood_in_sputum
Tuberculosis,cough,fever,night_sweats,fatigue,weight_loss
Tuberculosis,persistent_cough,blood_in_sputum,night_sweats,fever,chest_pain
Tuberculosis,weight_loss,fever,persistent_cough,night_sweats,fatigue
Tuberculosis,night_sweats,persistent_cough,fever,weight_loss,loss_of_appetite
Asthma,wheezing,shortness_of_breath,chest_tightness,cough,difficulty_breathing
Asthma,cough,wheezing,shortness_of_breath,chest_tightness,fatigue
Asthma,difficulty_breathing,wheezing,cough,chest_tightness,shortness_of_breath
Asthma,wheezing,cough,chest_tightness,shortness_of_breath,anxiety
Asthma,shortness_of_breath,wheezing,chest_tightness,cough,rapid_breathing
Gastroenteritis,nausea,vomiting,diarrhea,stomach_pain,fever
Gastroenteritis,vomiting,diarrhea,stomach_cramps,nausea,dehydration
Gastroenteritis,diarrhea,nausea,vomiting,fever,stomach_pain
Gastroenteritis,stomach_pain,vomiting,diarrhea,nausea,loss_of_appetite
Gastroenteritis,nausea,diarrhea,vomiting,stomach_cramps,fever
Migraine,severe_headache,nausea,sensitivity_to_light,blurred_vision,vomiting
Migraine,throbbing_headache,nausea,sensitivity_to_light,dizziness,fatigue
Migraine,severe_headache,sensitivity_to_light,nausea,vomiting,neck_stiffness
Migraine,throbbing_headache,blurred_vision,nausea,sensitivity_to_light,fatigue
Migraine,severe_headache,nausea,dizziness,sensitivity_to_light,vomiting
Anemia,fatigue,weakness,pale_skin,shortness_of_breath,dizziness
Anemia,weakness,fatigue,pale_skin,cold_hands,headache
Anemia,fatigue,dizziness,pale_skin,shortness_of_breath,weakness
Anemia,pale_skin,fatigue,weakness,cold_hands,brittle_nails
